title,body,labels,milestone
A1.1 — Finalize MVP scope statement,"## ID
A1.1

## Description
Define the final MVP scope for Revela as a CNN-first dermatology education prototype.

## Estimate
S

## Acceptance Criteria
- MVP is positioned as an educational reasoning scaffold.
- MVP is not described as a diagnostic tool.
- Scope includes CNN classification, top-3 output, confidence, uncertainty, and safety notes.
- LLM is documented as Week 4 extension, not core 3-week MVP.
- Out-of-scope list is included.

## Dependencies
None.
","P0 Must-have, Product, Week 1",Week 1
A1.2 — Write core hypothesis,"## ID
A1.2

## Description
Write the product hypothesis the MVP will test.

## Estimate
S

## Acceptance Criteria
- Hypothesis mentions dermatology trainees.
- Hypothesis focuses on top-3 differential, confidence, uncertainty, and visual reasoning.
- Hypothesis does not depend on LLM.
- Hypothesis is measurable through user testing.
- Suggested wording included in PRD/README.

## Dependencies
A1.1
","P0 Must-have, Product, Research, Week 1",Week 1
A1.3 — Define success metrics,"## ID
A1.3

## Description
Define project success metrics across product value, model performance, safety, and technical delivery.

## Estimate
S

## Acceptance Criteria
- Primary product metric defined.
- Model metrics defined: top-3 accuracy, macro-F1, balanced accuracy, confusion matrix.
- Safety metrics defined.
- Technical delivery metrics defined.
- Metrics added to README or PRD.

## Dependencies
A1.2
","P0 Must-have, Product, Evaluation, Week 1",Week 1
A1.4 — Define final feature priority list,"## ID
A1.4

## Description
Classify features as Must-have, Should-have, Could-have, or Won’t-have.

## Estimate
S

## Acceptance Criteria
- Must-have features fit 3-week MVP.
- LLM listed under Week 4 extension.
- Grad-CAM, educator dashboard, and case history deferred.
- Prioritization is visible in GitHub labels.

## Dependencies
A1.1
","P0 Must-have, Product, Week 1",Week 1
B1.1 — Confirm dataset access and license,"## ID
B1.1

## Description
Confirm which dermatology image dataset will be used for training.

## Estimate
S

## Acceptance Criteria
- Dataset access confirmed.
- License or usage constraints documented.
- Download instructions documented.
- Backup dataset identified.
- Dataset decision recorded in README.

## Dependencies
None.
","P0 Must-have, Data, Research, Risk, Week 1",Week 1
B1.2 — Download dataset metadata,"## ID
B1.2

## Description
Download or access metadata files for the selected dataset.

## Estimate
S

## Acceptance Criteria
- Metadata file available locally or in project storage.
- File path documented.
- Dataset size reported.
- Metadata format documented.

## Dependencies
B1.1
","P0 Must-have, Data, Week 1",Week 1
B1.3 — Inspect metadata fields,"## ID
B1.3

## Description
Inspect available fields such as image path, raw diagnosis label, skin-tone label, body location, and diagnosis source.

## Estimate
S

## Acceptance Criteria
- Available columns listed.
- Missing values summarized.
- Raw class distribution reported.
- Skin-tone metadata availability documented.

## Dependencies
B1.2
","P0 Must-have, Data, Research, Week 1",Week 1
B1.4 — Create raw label inventory,"## ID
B1.4

## Description
Create a list of all raw labels and their image counts.

## Estimate
S

## Acceptance Criteria
- All raw diagnosis labels listed.
- Count per raw label calculated.
- Low-count labels flagged.
- File saved as CSV.

## Dependencies
B1.3
","P0 Must-have, Data, Week 1",Week 1
B1.5 — Define 4-class MVP taxonomy,"## ID
B1.5

## Description
Map raw dataset labels into the MVP classes: Melanoma, Benign nevus, Eczema / dermatitis, Other / unclear.

## Estimate
M

## Acceptance Criteria
- Raw label → MVP class mapping completed.
- Ambiguous labels mapped to Other / unclear.
- Mapping reviewed by team.
- Class counts recalculated after mapping.

## Dependencies
B1.4
","P0 Must-have, Data, ML, Product, Week 1",Week 1
B1.6 — Validate class balance after mapping,"## ID
B1.6

## Description
Check whether the mapped dataset has enough examples per MVP class.

## Estimate
S

## Acceptance Criteria
- Counts by MVP class reported.
- Imbalance visualized or summarized.
- Classes with weak sample count flagged.
- Recommendation added: proceed, merge classes, or adjust scope.

## Dependencies
B1.5
","P0 Must-have, Data, Evaluation, Risk, Week 1",Week 1
B1.7 — Create dataset quality report,"## ID
B1.7

## Description
Document dataset quality, limitations, imbalance, missing fields, and skin-tone metadata.

## Estimate
S

## Acceptance Criteria
- Dataset source described.
- Number of images documented.
- Class distribution documented.
- Skin-tone metadata availability documented.
- Known limitations listed.
- Report linked in README.

## Dependencies
B1.3, B1.6
","P0 Must-have, Data, Evaluation, Safety, Week 1",Week 1
B1.8 — Create train/validation/test split,"## ID
B1.8

## Description
Create frozen train, validation, and test splits.

## Estimate
S

## Acceptance Criteria
- Train/validation/test split generated.
- Split ratios documented.
- Case-level split used if case IDs exist.
- If no case IDs exist, leakage limitation documented.
- Test set saved and not used for training.

## Dependencies
B1.5
","P0 Must-have, Data, ML, Week 1",Week 1
